Year/Month,Purpose of entry,number
202503,관광,72739
202503,방문,13144
202503,사업,4389
202503,질병,1340
202503,회의,1265
202503,각종행사,1263
202503,스포츠 경기,407
202503,기타,3120
202504,관광,63409
202504,방문,12086
202504,사업,4015
202504,질병,1123
202504,회의,1275
202504,각종행사,1316
202504,스포츠 경기,434
202504,기타,2616
202505,관광,53450
202505,방문,11319
202505,사업,4414
202505,질병,1090
202505,회의,1319
202505,각종행사,1511
202505,스포츠 경기,687
202505,기타,2689
202506,관광,48339
202506,방문,9485
202506,사업,3550
202506,질병,1060
202506,회의,1222
202506,각종행사,1603
202506,스포츠 경기,658
202506,기타,2806
202507,관광,51226
202507,방문,9747
202507,사업,3175
202507,질병,1092
202507,회의,1104
202507,각종행사,1322
202507,스포츠 경기,848
202507,기타,2679
202508,관광,60325
202508,방문,10703
202508,사업,3865
202508,질병,968
202508,회의,1375
202508,각종행사,1572
202508,스포츠 경기,884
202508,기타,2839
202509,관광,67958
202509,방문,12015
202509,사업,4459
202509,질병,1084
202509,회의,1573
202509,각종행사,2222
202509,스포츠 경기,803
202509,기타,2800
202510,관광,72852
202510,방문,12774
202510,사업,5730
202510,질병,1162
202510,회의,1927
202510,각종행사,1977
202510,스포츠 경기,856
202510,기타,2986
202511,관광,62702
202511,방문,11085
202511,사업,3746
202511,질병,1033
202511,회의,1160
202511,각종행사,1129
202511,스포츠 경기,313
202511,기타,2797
202512,관광,66366
202512,방문,13618
202512,사업,2985
202512,질병,979
202512,회의,541
202512,각종행사,441
202512,스포츠 경기,159
202512,기타,2883
202601,관광,62644
202601,방문,9402
202601,사업,3781
202601,질병,1197
202601,회의,700
202601,각종행사,791
202601,스포츠 경기,201
202601,기타,2848
202602,관광,62545
202602,방문,8802
202602,사업,3110
202602,질병,1153
202602,회의,784
202602,각종행사,557
202602,스포츠 경기,182
202602,기타,2856
202603,관광,83788
202603,방문,13846
202603,사업,4381
202603,질병,1148
202603,회의,1202
202603,각종행사,897
202603,스포츠 경기,315
202603,기타,4210